id,name,language,description,watchers,pull_requests,commits,members,issues,bucket,include
6970323,https://api.github.com/repos/eclipse/kura,Java,Kura project,295,1268,5029,0,2427,big,
10788607,https://api.github.com/repos/AzureAD/azure-activedirectory-library-for-android,Java,"The ADAL SDK for Android gives you the ability to add support for Work Accounts to your application with just a few lines of additional code. This SDK gives your application the full functionality of Microsoft Azure AD, including industry standard protoc",146,650,2921,23,1237,popular,
5778207,https://api.github.com/repos/caelum/vraptor4,Java,A Java web MVC action-based framework,371,789,3563,28,1186,popular,x
12973532,https://api.github.com/repos/spring-cloud/spring-cloud-aws,Java,Integration for Amazon Web Services APIs with Spring,359,123,4145,22,459,popular,x
70480,https://api.github.com/repos/Jasig/uPortal,Java,Enterprise open source portal built by and for the higher education community.,215,1634,15211,25,1726,popular,
5516,https://api.github.com/repos/geoserver/geoserver,Java,Official GeoServer repository,1577,3452,10217,30,3481,popular,
11121205,https://api.github.com/repos/codecentric/spring-boot-admin,Java,Admin UI for administration of spring boot applications,7302,184,1565,112,1181,popular,
3083,https://api.github.com/repos/floodlight/floodlight,Java,Floodlight SDN OpenFlow Controller,641,661,1189,41,810,popular,
22668,https://api.github.com/repos/Netflix/Priam,Java,"Co-Process for backup/recovery, Token Management, and Centralized Configuration management for Cassandra.",932,585,1069,103,798,popular,
11629878,https://api.github.com/repos/mulesoft/raml-for-jax-rs,Java,This project is all about two way transformation of JAX-RS-annotated Java code to  RAML API description and back.,222,49,476,178,212,popular,
9630652,https://api.github.com/repos/broadinstitute/picard,Java,A set of tools (in Java) for working with next generation sequencing data in the BAM (http://samtools.github.io/hts-specs) format.,471,797,6451,23,1313,popular,x
12353886,https://api.github.com/repos/usc-isi-i2/Web-Karma,Java,Information Integration Tool,415,79,1011,17,293,medium,
101209,https://api.github.com/repos/azkaban/azkaban,Java,Azkaban workflow manager.,2520,1254,1455,14,2057,medium,
978319,https://api.github.com/repos/perfectsense/dari,Java,Dari is a powerful data modeling framework that makes it easy to work with complex data structures and persist them to one or more database backends. It's been carefully crafted over years of experience with real-world challenges.,54,277,2676,44,305,medium,
44194967,https://api.github.com/repos/airbnb/epoxy,Java,,5511,316,1013,10,742,medium,
16416,https://api.github.com/repos/gephi/gephi,Java,Gephi - The Open Graph Viz Platform,3169,109,1042,10,2109,medium,
31054494,https://api.github.com/repos/FeatureIDE/FeatureIDE,Java,An extensible framework for feature-oriented software development,49,62,2506,45,655,medium,x
9770330,https://api.github.com/repos/sphereio/commercetools-sunrise-java,Java,The next generation shop template by commercetools,7,64,1026,12,262,medium,x
168861,https://api.github.com/repos/hhru/nuts-and-bolts,Java,Maintainers: Федотов,14,184,2139,50,188,medium,
35039,https://api.github.com/repos/AxonFramework/AxonFramework,Java,High Performance and Scalability framework for Java,1596,461,4461,10,1058,medium,
24741,https://api.github.com/repos/threerings/playn,Java,Legacy 1.x version of PlayN library.,172,52,1229,15,78,medium,x
34580988,https://api.github.com/repos/plusCubed/velociraptor,Java,Floating speed limit monitor for Android,119,9,305,0,110,small,
133889277,https://api.github.com/repos/florin141/password-generator,Java,,0,0,27,0,0,small,
129895024,https://api.github.com/repos/AreXe/SpringPortal,Java,Webapp made in Spring and Hibernate,1,3,29,0,3,small,x
8353018,https://api.github.com/repos/ragerri/ixa-pipe-convert,Java,It converts corpora formats,1,1,176,0,3,small,x
41102638,https://api.github.com/repos/Ensembl/gti-genesearch,Java,,0,1,47,1,1,small,
20703704,https://api.github.com/repos/lukashinsch/spring-boot-actuator-user-agent-metrics,Java,Filter to log user agent statistics as spring boot actuator metrics,5,4,31,0,8,small,
130668650,https://api.github.com/repos/Unalo/greeting-in-java,Java,,0,0,70,0,0,small,
115093682,https://api.github.com/repos/duncte123/loadingBar,Java,Drawing with java,4,1,24,0,1,small,
124089474,https://api.github.com/repos/pkiraly/metadata-qa-wikidata,Java,Quality assessment for the bibliographic records of Wikidata,0,0,64,1,11,small,x
11518129,https://api.github.com/repos/usgs/nshmp-haz,Java,National Seismic Hazard Mapping Program codes,14,257,894,1,415,small,
5342282,https://api.github.com/repos/getnikola/nikola,Python,A static website and blog generator,1857,1355,7312,18,3265,big,
85826024,https://api.github.com/repos/dimagi/commcare-cloud,Python,,5,1597,7568,3,1643,big,
10389042,https://api.github.com/repos/Vauxoo/addons-vauxoo,Python,"All our modules related to developments that solves generic issues on Odoo, or that solve internal problems on Odoo Core, if something is here, maybe it is solving an issue in your company, try it and report what you see.",154,1196,9607,0,1370,big,
10609599,https://api.github.com/repos/OCA/server-tools,Python,Tools for Odoo Administrators to improve some technical features on Odoo.,323,1271,6217,22,1621,big,
15925013,https://api.github.com/repos/liqd/adhocracy3,Python,Adhocracy 3 with customizations for various projects,6,919,5720,0,1244,big,
22196424,https://api.github.com/repos/uclouvain/osis,Python,Open Student Information System,53,3946,20340,0,5159,big,x
31118150,https://api.github.com/repos/learningequality/kolibri,Python,"This is where Kolibri shall be born, watch and participate!",276,3345,9719,0,5484,big,
1361727,https://api.github.com/repos/quantopian/zipline,Python,"Zipline, a Pythonic Algorithmic Trading Library",9021,1633,16881,5,2438,big,x
49365164,https://api.github.com/repos/PennyDreadfulMTG/Penny-Dreadful-Tools,Python,,24,1265,6203,0,6043,big,
18914789,https://api.github.com/repos/mozilla/treeherder,Python,Dashboard & service for managing CI data for Mozilla projects,157,3799,16958,1,3902,big,x
825924,https://api.github.com/repos/unknown-horizons/unknown-horizons,Python,Unknown Horizons official code repository,1084,569,12023,37,2969,popular,
10545408,https://api.github.com/repos/Netflix/security_monkey,Python,Security Monkey,3624,645,1628,157,1180,popular,x
18059067,https://api.github.com/repos/fchollet/keras,Python,"Deep Learning library for Python. Convnets, recurrent neural networks, and more. Runs on Theano and TensorFlow.",23304,2423,3953,21,8748,popular,
497205,https://api.github.com/repos/nengo/nengo,Python,A Python library for creating and simulating large-scale brain models,150,194,2375,25,568,popular,x
201224,https://api.github.com/repos/enthought/traitsui,Python,TraitsUI: Traits-capable windowing framework,177,323,2123,74,562,popular,
41728,https://api.github.com/repos/praekelt/vumi,Python,"Messaging engine for the delivery of SMS, Star Menu and chat messages to diverse audiences in emerging markets and beyond.",384,828,7604,22,1397,popular,
12841,https://api.github.com/repos/naparuba/shinken,Python,Flexible and scalable monitoring framework,1192,734,5474,23,2024,popular,
28175,https://api.github.com/repos/enthought/chaco,Python,Chaco is a Python package for building interactive and custom 2-D plots.,237,266,1952,83,453,popular,
10483614,https://api.github.com/repos/OCA/account-financial-tools,Python,Odoo Accountant Financial Tools and Utils,128,722,4593,22,862,popular,x
67524,https://api.github.com/repos/splunk/splunk-sdk-python,Python,Splunk Software Development Kit for Python,373,133,1178,58,254,popular,
35000563,https://api.github.com/repos/usharesoft/appcenter-docs,Python,UForge AppCenter and UForge Marketplace documentation,4,1000,1457,17,1015,medium,
30965,https://api.github.com/repos/hasgeek/hasjob,Python,"Hasjob, the HasGeek job board",216,253,2189,12,531,medium,
12108153,https://api.github.com/repos/hjwp/Book-TDD-Web-Dev-Python,Python,Book - TDD web dev with Python,286,64,3647,14,87,medium,x
10571510,https://api.github.com/repos/OCA/l10n-switzerland,Python,Odoo Swiss localization,28,372,2305,22,491,medium,
12826987,https://api.github.com/repos/certtools/intelmq,Python,"IntelMQ is a solution to process data feeds, pastebins, tweets throught a message queue.",478,554,4158,16,1283,medium,
66437551,https://api.github.com/repos/lessersunda/lexirumah-data,Python,Data for the lexirumah clld,0,3,1184,12,100,medium,
21082618,https://api.github.com/repos/manahl/arctic,Python,High performance datastore for time series and tick data,1592,336,1479,12,772,medium,
10507892,https://api.github.com/repos/OCA/account-closing,Python,Odoo Accountant closing tools,23,95,1248,22,116,medium,
11014727,https://api.github.com/repos/project8/morpho,Python,,3,37,1153,26,115,medium,x
32649477,https://api.github.com/repos/ocadotechnology/aimmo,Python,"A Massively Multi-player Online game, where players create Artificially Intelligent programs to play on their behalf.",73,375,3363,21,1000,medium,x
43147025,https://api.github.com/repos/biologyguy/RD-MCL,Python,Recursive Dynamic Markov clustering,9,2,802,0,13,small,
34586593,https://api.github.com/repos/markkorput/py2030,Python,Controller software for the visuals of the 2030 performance,0,0,438,0,8,small,
96610408,https://api.github.com/repos/langmead-lab/FORGe,Python,Code for building and testing variant ranking strategies,10,1,139,0,3,small,
83071691,https://api.github.com/repos/databio/pypiper,Python,Python toolkit for building restartable pipelines,11,23,281,1,94,small,x
128399064,https://api.github.com/repos/danielhers/synsem,Python,,0,0,99,0,0,small,
111382572,https://api.github.com/repos/intuit/oauth-pythonclient,Python,The Python OAuth client provides a set of methods that make it easier to work with Intuit's OAuth and OpenID implementation.,14,5,29,0,9,small,x
113989116,https://api.github.com/repos/Tinywan/automated-test,Python,自动化测试,1,2,38,0,2,small,
129254894,https://api.github.com/repos/annamamonova/education,Python,,0,0,42,0,0,small,
22053475,https://api.github.com/repos/Sinkler/django-radiogrid,Python,Django radio grid field,23,2,45,0,2,small,x
54087484,https://api.github.com/repos/swiftstack/swift-metadata-sync,Python,Propagate OpenStack Swift object metadata into Elasticsearch,9,11,88,0,12,small,
46357,https://api.github.com/repos/rspec/rspec-core,Ruby,RSpec runner and formatters,1032,1351,6560,9,2624,big,
12031,https://api.github.com/repos/rubinius/rubinius,Ruby,The Rubinius Language Platform,3244,1258,13705,108,3924,big,
775774,https://api.github.com/repos/opal/opal,Ruby,Ruby to JavaScript compiler,3983,961,7351,0,1969,big,
24031769,https://api.github.com/repos/nasa/earthdata-search,Ruby,"Earthdata Search is a web application developed by NASA EOSDIS to enable data discovery, search, comparison, visualization, and access across EOSDIS' Earth Science data holdings.",504,801,6133,0,813,big,x
15985174,https://api.github.com/repos/rmosolgo/graphql-ruby,Ruby,Ruby implementation of Facebook's GraphQL,3758,1247,5296,5,2319,big,x
